Stazione;Grandezza;Data_rilevazione;Ora_rilevazione(GMT);Valore
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2009;00:00;69,8
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2010;00:00;40,4
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2011;00:00;23,2
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2012;00:00;37,6
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2013;00:00;59
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2014;00:00;32
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2015;00:00;53,6
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2016;00:00;27,8
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2017;00:00;70,8
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2018;00:00;64,8
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2019;00:00;31
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2020;00:00;40
Camporeale;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2021;00:00;--
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2009;00:00;1010,2
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2010;00:00;811,8
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2011;00:00;556,2
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2012;00:00;614,8
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2013;00:00;933,2
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2014;00:00;745,4
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2015;00:00;960,8
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2016;00:00;521,2
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2017;00:00;545,4
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2018;00:00;971,6
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2019;00:00;574,2
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2020;00:00;482,2
Camporeale;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2021;00:00;--
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2009;00:00;1010,2
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2010;00:00;811,8
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2011;00:00;556,2
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2012;00:00;614,8
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2013;00:00;933,2
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2014;00:00;746,68
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2015;00:00;982,39
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2016;00:00;571,03
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2017;00:00;552,04
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2018;00:00;971,6
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2019;00:00;574,2
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2020;00:00;482,2
Camporeale;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2021;00:00;--
Camporeale;Giorni piovosi annuali (giorni mm>1) (%);01/01/2009;00:00;29,04
