Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;00:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;00:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;00:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;00:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;00:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;00:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;01:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;01:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;01:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;01:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;01:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;01:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;02:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;02:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;02:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;02:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;02:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;02:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;03:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;03:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;03:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;03:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;03:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;03:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;04:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;04:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;04:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;04:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;04:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;04:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;05:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;05:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;05:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;05:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;05:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;05:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;06:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;06:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;06:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;06:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;06:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;06:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;07:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;07:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;07:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;07:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;07:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;07:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;08:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;08:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;08:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;08:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;08:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;08:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;09:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;09:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;09:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;09:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;09:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;09:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;10:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;10:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;10:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;10:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;10:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;10:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;11:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;11:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;11:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;11:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;11:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;11:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;12:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;12:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;12:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;12:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;12:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;12:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;13:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;13:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;13:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;13:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;13:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;13:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;14:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;14:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;14:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;14:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;14:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;14:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;15:00;0,2
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;15:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;15:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;15:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;15:40;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;15:50;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;16:00;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;16:10;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;16:20;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;16:30;0
Contessa Entellina;Precipitazioni totali 10 min. (mm);01/01/2013;16:40;0
